# MNE-Annotations
# orig_time : 2023-04-17 14:53:07.997000
# onset, duration, description
11.004,0.0,1
51.001,0.0,1
59.881,0.0,1
64.162,0.0,1
64.202,0.0,1
91.004,0.0,1
103.014,0.0,1
111.001,0.0,1
121.004,0.0,1
127.967,0.0,1
150.268,0.0,1
172.305,0.0,1
193.689,0.0,1
217.825,0.0,1
238.192,0.0,1
259.57,0.0,1
279.028,0.0,1
301.445,0.0,1
322.195,0.0,1
342.754,0.0,1
362.668,0.0,1
387.816,0.0,1
407.879,0.0,1
429.828,0.0,1
448.138,0.0,1
469.721,0.0,1
494.538,0.0,1
515.763,0.0,1
535.75,0.0,1
554.613,0.0,1
573.001,0.0,1
576.18,0.0,1
599.874,0.0,1
628.005,0.0,1
711.001,0.0,1
